#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Channel ID,channel_name,total_subscribers,total_views,total_videos
77,TEDx Talks @UCsT0YIqwnpJCM-mx7-gSA4Q,35.5M,-,,,10.7M,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks ,40700000,7849833433,215439
78,Ozuna @UCjIA3wwhi0QjSOXAZwOXbPA,35.2M,0.4%,Puerto Rico,Celebrity Music,10.6M,UCjIA3wwhi0QjSOXAZwOXbPA,Ozuna ,36800000,24706604646,233
79,YouTube @youtube.com,35.1M,-,United States,,10.5M,youtube.com,YouTube ,N/A,N/A,N/A
80,Masha and The Bear @UCu59yAFE8fM0sVNTipR4edw,35.1M,-,United States,,10.5M,UCu59yAFE8fM0sVNTipR4edw,Masha and The Bear ,47800000,28267618590,1474
81,Bruno Mars @UCoUM-UJ7rirJYP8CQ0EIaHA,34.8M,0.2%,,,10.4M,UCoUM-UJ7rirJYP8CQ0EIaHA,Bruno Mars ,37900000,21028777080,100
82,Jkk Entertainment @UC5tuYcCdiKuF5Y2ZonuarwA,34.5M,0.2%,,,10.4M,UC5tuYcCdiKuF5Y2ZonuarwA,Jkk Entertainment ,37800000,16885785501,235
83,Maria Clara & JP @UCKe6w0exI94U-RzqAyoY1VA,33.8M,0.1%,Brazil,,10.1M,UCKe6w0exI94U-RzqAyoY1VA,Maria Clara & JP ,41600000,27271048985,812
84,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M,UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab ,36500000,23464167887,8442
85,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.2%,India,Video Gaming,10.1M,UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming ,41400000,4148090727,496
86,J Balvin @UCt-k6JwNWHMXDBGm9IYHdsg,33.6M,-,Colombia,,10.1M,UCt-k6JwNWHMXDBGm9IYHdsg,J Balvin ,34300000,23998732376,200
87,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,India,,10.1M,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS ,42200000,16368792358,374011
88,VEGETTA777 @UCam8T03EOFBsNdR0thrFHdQ,33.5M,-,,,10.1M,UCam8T03EOFBsNdR0thrFHdQ,VEGETTA777 ,34100000,15767016181,7949
89,Markiplier @UC7_YxT-KID8kRbqZo7MyscQ,33.5M,0.4%,United States,,10.1M,UC7_YxT-KID8kRbqZo7MyscQ,Markiplier ,36600000,21413961111,5587
90,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.8%,India,,9.9M,UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory ,33900000,10577231393,193
91,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,United Kingdom,Music,9.9M,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds ,33700000,11086692170,1643
92,Geet MP3 @UClZF7OsrECe3t_ADrjZEh_Q,32.7M,-,,Music,9.8M,UClZF7OsrECe3t_ADrjZEh_Q,Geet MP3 ,35200000,13657031611,739
93,Ryan's World @UChGJGhZ9SOOHvBB0Y4DOO_w,32.7M,-,,Music,9.8M,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World ,37000000,57550110900,2788
94,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32.7M,-,India,,9.8M,UCRm96I5kmb_iGFofE5N691w,Bollywood Classics ,40200000,26211077997,2052
95,Sony PAL @UCw7xjxzbMwgBSmbeYwqYRMg,32.6M,-,,,9.8M,UCw7xjxzbMwgBSmbeYwqYRMg,Sony PAL ,42700000,32519204855,28083
96,Like Nastya ESP @UCpEJRZdSpdVZ8vh63T9I2KQ,32.5M,-,,,9.8M,UCpEJRZdSpdVZ8vh63T9I2KQ,Like Nastya ESP ,40100000,19846663071,841
97,La Granja de Zenón @UCwpcLKMwiuPg4aqImpGk6Ew,32.3M,-,Argentina,,9.7M,UCwpcLKMwiuPg4aqImpGk6Ew,La Granja de Zenón ,39600000,30876542989,725
98,Alfredo Larin @alfredolarin,32.3M,-,El Salvador,,9.7M,alfredolarin,Alfredo Larin ,N/A,N/A,N/A
99,Mikecrack @UCqJ5zFEED1hWs0KNQCQuYdQ,32.2M,0.6%,Spain,,9.7M,UCqJ5zFEED1hWs0KNQCQuYdQ,Mikecrack ,49500000,18386299949,2024
100,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32.1M,-,India,,9.6M,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music ,40700000,19345523663,8601
